"巢祈狼 楷飞喊","酒郴狼 楷飞喊",2018,2019,2020,2021,2022
"34技","28技",1089,930,945,761,710
"34技","29技",1476,1332,1280,1168,1114
"34技","30技",1826,1525,1493,1393,1421
"34技","31技",1940,1633,1569,1400,1520
"34技","32技",1690,1592,1530,1363,1435
"34技","33技",1660,1486,1456,1333,1358
"34技","34技",1673,1448,1346,1296,1337
"34技","35技",921,760,699,618,672
"34技","36技",466,392,358,310,346
"34技","37技",240,282,259,213,202
"34技","38技",161,163,149,128,134
"34技","39技",88,101,86,80,83
"34技","40 - 44技",161,154,120,139,138
"34技","45 - 49技",39,16,22,24,17
"34技","50 - 54技",6,4,1,3,3
"34技","55 - 59技",0,0,0,2,0
"34技","60 - 64技",0,0,0,0,0
"34技","65 - 69技",0,0,0,0,0
"34技","70 - 74技",0,0,0,0,0
"34技","75技捞惑",0,0,0,0,0
"35技","15技",0,0,1,0,0
"35技","16技",1,1,0,0,1
"35技","17技",0,1,1,0,2
"35技","18技",25,48,12,1,7
"35技","19技",37,34,25,8,7
"35技","20技",51,31,27,9,15
"35技","21技",50,36,32,21,23
"35技","22技",71,60,33,24,17
"35技","23技",116,105,73,50,53
"35技","24技",159,133,100,81,87
"35技","25技",252,228,155,140,117
"35技","26技",388,334,245,210,195
"35技","27技",593,497,393,282,293
"35技","28技",749,675,596,500,474
"35技","29技",1002,899,814,749,673
"35技","30技",1311,1132,1035,940,950
"35技","31技",1468,1342,1210,1125,1165
"35技","32技",1516,1360,1202,1111,1194
"35技","33技",1393,1241,1123,1056,1113
"35技","34技",1454,1184,1066,976,1074
"35技","35技",1421,1299,1009,962,994
"35技","36技",770,732,564,496,519
"35技","37技",393,338,360,294,257
"35技","38技",242,232,188,185,174
"35技","39技",141,155,127,124,133
"35技","40 - 44技",235,200,178,165,162
"35技","45 - 49技",46,27,29,29,24
"35技","50 - 54技",10,5,6,3,3
"35技","55 - 59技",2,3,0,0,0
"35技","60 - 64技",1,0,0,0,0
"35技","65 - 69技",0,0,0,0,0
"35技","70 - 74技",0,0,0,0,0
"35技","75技捞惑",0,0,0,0,0
"36技","15技",0,0,0,0,0
"36技","16技",0,1,1,0,0
"36技","17技",2,3,1,0,0
"36技","18技",46,50,13,2,4
"36技","19技",46,41,15,3,13
"36技","20技",50,43,21,12,22
"36技","21技",47,34,25,13,22
"36技","22技",62,66,41,19,28
"36技","23技",91,75,57,36,32
"36技","24技",126,107,117,78,64
"36技","25技",192,185,124,90,94
"36技","26技",275,227,161,140,141
"36技","27技",346,367,267,225,222
"36技","28技",441,410,377,296,310
"36技","29技",627,597,514,518,415
"36技","30技",878,771,638,583,660
"36技","31技",1065,945,843,774,825
"36技","32技",1138,1161,949,835,955
"36技","33技",1200,1142,982,886,914
"36技","34技",1211,1078,924,838,828
"36技","35技",1114,1047,870,803,799
"36技","36技",1185,1045,837,763,804
"36技","37技",607,608,500,427,419
"36技","38技",327,306,281,252,203
"36技","39技",193,173,170,164,151
"36技","40 - 44技",313,317,266,222,257
"36技","45 - 49技",51,55,41,33,48
"36技","50 - 54技",13,8,9,3,4
"36技","55 - 59技",1,0,0,0,0
"36技","60 - 64技",0,0,1,0,0
"36技","65 - 69技",0,0,0,0,0
"36技","70 - 74技",0,0,0,0,0
"36技","75技捞惑",0,0,0,0,0
"37技","15技",0,0,0,0,0
"37技","16技",2,0,0,1,0
"37技","17技",0,1,0,0,0
"37技","18技",54,64,19,4,8
"37技","19技",65,53,25,10,11
"37技","20技",60,48,21,10,23
"37技","21技",60,63,18,22,23
"37技","22技",52,47,37,22,35
"37技","23技",71,56,40,36,40
"37技","24技",88,74,58,42,46
"37技","25技",137,102,99,76,70
"37技","26技",164,179,141,106,109
"37技","27技",241,229,211,170,141
"37技","28技",316,305,256,221,194
"37技","29技",413,407,393,335,325
"37技","30技",527,492,445,432,395
"37技","31技",589,631,539,536,522
"37技","32技",854,777,661,649,640
"37技","33技",914,906,800,738,733
"37技","34技",1005,963,803,688,735
"37技","35技",1024,917,765,655,678
"37技","36技",995,887,728,616,641
"37技","37技",934,904,810,703,608
"37技","38技",448,423,421,385,362
"37技","39技",237,262,248,219,183
"37技","40 - 44技",381,365,343,337,323
"37技","45 - 49技",59,72,38,40,41
"37技","50 - 54技",4,12,6,11,8
"37技","55 - 59技",1,1,2,0,0
"37技","60 - 64技",1,0,0,1,0
"37技","65 - 69技",0,0,0,0,0
"37技","70 - 74技",0,0,0,0,0
"37技","75技捞惑",0,0,0,0,0
"38技","15技",0,0,0,0,0
"38技","16技",0,2,0,0,0
"38技","17技",0,0,0,1,0
"38技","18技",65,78,19,3,18
"38技","19技",65,60,36,5,18
"38技","20技",54,68,23,10,20
"38技","21技",50,52,22,19,23
"38技","22技",63,52,32,21,30
"38技","23技",52,79,38,25,34
"38技","24技",88,75,61,40,50
"38技","25技",115,90,66,62,56
"38技","26技",128,128,106,63,88
"38技","27技",159,157,139,117,93
"38技","28技",191,194,166,151,134
"38技","29技",242,295,248,208,203
"38技","30技",311,329,292,296,291
"38技","31技",365,376,331,331,344
"38技","32技",481,457,431,372,411
"38技","33技",586,565,527,519,517
"38技","34技",709,675,607,587,591
"38技","35技",811,760,626,613,613
"38技","36技",768,771,672,521,587
"38技","37技",690,724,620,539,554
"38技","38技",655,663,654,573,518
"38技","39技",343,390,315,332,294
"38技","40 - 44技",484,486,459,445,466
